Date,T-Bill ETF,US AggETF,Emerging Market ETF,Russell 1000 ETF
2009-12-31,91.74,,111.44,61.31
2010-01-04,91.7,,113.33,62.32
2010-01-05,91.68,,113.63,62.52
2010-01-06,91.68,,113.71,62.6
2010-01-07,91.68,,114.19,62.85
2010-01-08,91.68,,114.57,63.06
2010-01-11,91.68,,114.73,63.15
2010-01-12,91.68,,113.66,62.54
2010-01-13,91.72,,114.62,63.06
2010-01-14,91.7,,114.93,63.24
2010-01-15,91.7,,113.64,62.54
2010-01-19,91.7,,115.06,63.31
2010-01-20,91.7,,113.89,62.66
2010-01-21,91.7,,111.7,61.53
2010-01-22,91.7,,109.21,60.17
2010-01-25,91.72,,109.77,60.49
2010-01-26,91.72,,109.31,60.19
2010-01-27,91.74,,109.83,60.49
2010-01-28,91.72,,108.57,59.78
2010-01-29,91.74,,107.39,59.09
2010-02-01,91.72,,109.06,59.97
2010-02-02,91.7,,110.38,60.75
2010-02-03,91.74,,109.83,60.43
2010-02-04,91.74,,106.44,58.57
2010-02-05,91.74,,106.66,58.72
2010-02-08,91.74,,105.89,58.25
2010-02-09,91.74,,107.22,58.99
2010-02-10,91.74,,107.01,58.88
2010-02-11,91.74,,108.13,59.53
2010-02-12,91.74,,108.04,59.53
2010-02-16,91.74,,109.74,60.5
2010-02-17,91.68,,110.26,60.77
2010-02-18,91.72,,110.91,61.14
2010-02-19,91.68,,111.14,61.3
2010-02-22,91.72,,111.16,61.26
2010-02-23,91.68,,109.81,60.47
2010-02-24,91.72,,110.82,61.07
2010-02-25,91.72,,110.67,61.01
2010-02-26,91.72,,110.74,61.02
2010-03-01,91.68,,111.89,61.71
2010-03-02,91.7,,112.2,61.89
2010-03-03,91.68,,112.3,61.97
2010-03-04,91.68,,112.641,62.14
2010-03-05,91.68,,114.25,63.03
2010-03-08,91.68,,114.27,63.06
2010-03-09,91.68,,114.46,63.16
2010-03-10,91.7,,114.97,63.45
2010-03-11,91.68,,115.45,63.7
2010-03-12,91.68,,115.46,63.75
2010-03-15,91.68,,115.49,63.74
2010-03-16,91.68,,116.41,64.26
2010-03-17,91.68,,117.1,64.67
2010-03-18,91.68,,117.0375,64.59
2010-03-19,91.68,,115.97,64.24
2010-03-22,91.7,,116.5925,64.62
2010-03-23,91.7,,117.41,65.07
2010-03-24,91.68,,116.84,64.5
2010-03-25,91.72,,116.65,64.38
2010-03-26,91.72,,116.582,64.36
2010-03-29,91.68,,117.32,64.78
2010-03-30,91.68,,117.4,64.83
2010-03-31,91.72,,117.0,64.62
2010-04-01,91.72,,117.8,65.02
2010-04-05,91.68,,118.76,65.64
2010-04-06,91.68,,119.04,65.77
2010-04-07,91.68,,118.36,65.43
2010-04-08,91.68,,118.7725,65.64
2010-04-09,91.68,,119.55,66.04
2010-04-12,91.68,,119.74,66.16
2010-04-13,91.68,,119.83,66.21
2010-04-14,91.68,,121.19,67.0
2010-04-15,91.68,,121.29,67.06
2010-04-16,91.68,,119.36,66.0
2010-04-19,91.7,,119.81,66.19
2010-04-20,91.68,,120.88,66.79
2010-04-21,91.68,,120.66,66.68
2010-04-22,91.68,,121.02,66.96
2010-04-23,91.68,,121.8125,67.4
2010-04-26,91.7,,121.35,67.17
2010-04-27,91.68,,118.48,65.57
2010-04-28,91.7,,119.38,66.01
2010-04-29,91.7,,120.8575,66.89
2010-04-30,91.68,,118.8125,65.8
2010-05-03,91.7,,120.35,66.63
2010-05-04,91.68,,117.52,65.04
2010-05-05,91.7,,116.82,64.57
2010-05-06,91.72,,112.942,62.405
2010-05-07,91.72,,111.26,61.35
2010-05-10,91.72,,116.16,64.15
2010-05-11,91.72,,115.83,63.96
2010-05-12,91.72,,117.45,64.96
2010-05-13,91.7,,115.99,64.15
2010-05-14,91.72,,113.89,62.96
2010-05-17,91.72,,113.95,63.0
2010-05-18,91.7,,112.4,62.13
2010-05-19,91.72,,111.76,61.74
2010-05-20,91.72,,107.54,59.44
2010-05-21,91.72,,109.115,60.22
2010-05-24,91.72,,107.71,59.49
2010-05-25,91.72,,107.818,59.54
2010-05-26,91.74,,107.17,59.27
2010-05-27,91.7,,110.76,61.28
2010-05-28,91.72,,109.369,60.56
2010-06-01,91.72,,107.53,59.5
2010-06-02,91.74,,110.33,60.99
